PRED,IMAGE,CONF
3CLV88,090113_1701116399874F04_061,939
7RJ215,090010_1701099213228R02_451,906
4672054,090106_1701120988466R02_701,908
2VHV93,090007_1701117983419F03_481,919
4GW172,090010_1701100189039F04_421,942
7EP818,090006_1701099066797F04_161,932
L909227,090106_1701092042214F03_831,931
9EMC80,090113_1701090730675R02_121,913
3LRB81,090105_1701093112088R01_131,923
3END53,090014_1701091949144F06_271,929
416SB4,090012_1701102129407R03_101,940
V90484,090107_1701104457204F02_601,934
51LZ92,011116_1701109632548R01_981,910
3GGC19,001315_1701099368420F03_348,898
3GYN58,090314_1701115626442F01_341,927
4YBM29,001315_1701093745260F03_261,901
1MBL72,090010_1701108837005R04_961,933
Z90HWT,090113_1701096573451R04_321,925
XY377,011016_1701109207244R01_031,253
3ESE56,090108_1701112052454F04_021,920
JUR196,090103_1701095511091R02_981,881
3WGB66,090111_1701115867572F03_651,937
3NTC18,001115_1701091192517F04_217,887
1LBF34,001015_1701091528111F05_621,938
741MB3,090010_1701096114451R04_751,787
5233ZM,090111_1701121024095R03_051,936
2GZA82,090010_1701122340008F04_761,937
4HVG54,090113_1701092215605R02_901,930
460KJH,090108_1701101476531R03_471,928
2PSE13,090110_1701113359299R04_161,943
2RLJ62,090113_1701103598351R01_441,928
6108554,090003_1701094875848R03_271,915
4JFJ74,090012_1701117980288R04_471,936
3ADR85,090106_1701108684687F03_531,922
1FF839,090113_1701112323759R03_021,919
4BZR45,090109_1701112433138R04_131,929
LDN6609,090111_1701110647747F03_471,899
W50833,001315_1701101130467R02_103,907
8561PT,090104_1701104515322F03_311,837
64966,090013_1701115054003F04_881,934
R574X,090106_1701090166673R04_121,269
5NFX39,011116_1701117931940F01_881,935
3CRR35,090006_1701120959187R03_001,936
W59597,090013_1701108714094R04_451,922
1TDW85,090105_1701106743041F02_441,934
BG59282,090101_1701097940726R03_391,931
3XVF14,090112_1701118744593R04_261,941
1540RS,090008_1701108082475F02_891,895
4VKV17,001315_1701098875487R03_179,868
LV99149,090106_1701110930428F03_971,913
W94198,090010_1701102300370F02_081,933
6KA966,090112_1701121020462F01_181,919
1PT295,090107_1701102198261R03_331,938
KCY452,090003_1701111689708R03_191,889
3KJR67,090111_1701103967265R02_591,924
797TS1,090007_1701120281478F03_651,929
2HGA93,090011_1701120462969F02_091,936
3FTS13,001315_1701106954277R02_428,913
EH47797,090006_1701115119075F03_361,922
KWJ1503,090009_1701120791531F06_471,925
5RWB79,001315_1701108986830R03_470,907
44,001115_1701103325467F04_345,334
LV85015,001315_1701109599747R03_406,897
KBR5437,090112_1701092207943R02_221,924
T40252,090013_1701109502960R02_991,924
2CLG32,090109_1701118251170F02_201,940
5XC221,090011_1701115736392R03_151,938
X33655,090314_1701101489584F02_931,941
4TYN21,090113_1701101093703R01_351,929
W47715,090006_1701121353864F02_201,922
6SJ559,090109_1701111155377R03_341,942
2THH17,090014_1701102664335F06_761,923
110878,090010_1701090361402R03_941,929
T39483,090111_1701100859116R02_651,924
3DBW24,090114_1701112096209R04_951,932
4DSM28,001215_1701093172122F03_941,946
3PYB76,090011_1701090434234F03_201,930
EW0RK,090012_1701106012113F04_551,874
2XWK57,090106_1701114898563R04_381,936
LPJ6896,090112_1701096216599R03_681,930
8B50,090007_1701112686539F04_711,937
8BG272,090106_1701095967854F03_391,944
7DD659,001115_1701120949817F04_244,872
4HAW99,090004_1701103155775F03_091,940
125FL5,090104_1701121865782R03_071,814
1SEB45,001315_1701109701340F03_244,916
QA65WE,090011_1701093766014R03_481,914
5SL361,001315_1701113400643F03_269,918
9EJ842,090105_1701102144921R02_711,922
1EJ376,090010_1701090205914R03_511,939
8PR829,090008_1701107168982F03_941,935
3JAM63,090107_1701091160091F04_521,936
2NKF46,090013_1701098797412R04_411,934
6NL784,090109_1701112453823R04_261,942
4EXJ15,090114_1701109368315F04_681,893
1AD96V,090111_1701093319345F02_231,907
3917VA,090106_1701109236904F04_121,902
T10572,090008_1701115202689F04_731,938
1AH91P,090006_1701099211753R02_091,942
4TS559,090013_1701096414332R03_291,950
356X31,090009_1701113086562R06_711,896
1LTJ23,090006_1701107439490F04_521,944
1THL47,001215_1701109225057F03_101,936
N0731,090014_1701119545656F04_161,748
JWY8781,090002_1701101436294R02_431,910
85984PC,090003_1701115752260F03_321,919
3MSD26,090006_1701118848419F04_141,937
1EMF56,090105_1701095370814R02_101,933
253AG3,090006_1701113920262R03_541,937
H13589,090013_1701107402456F03_321,839
KKMC951,090009_1701104753560F05_851,790
3CSF33,011116_1701116045862F01_391,939
4CWA24,090112_1701118226899R02_541,939
172KK4,090110_1701102947099F04_851,914
5AVF34,090108_1701108732886F03_331,924
810ZZG,090106_1701112921972R02_741,885
11JP50,090012_1701119169462R02_701,939
LEC4833,090007_1701099099905F04_411,922
KBT1807,090006_1701103764937R02_121,927
1WVE43,001315_1701111473837F03_392,888
LDV4115,090101_1701112969908R02_831,907
1FNW19,011116_1701107984198R02_151,938
V69624,090114_1701113702484F04_131,947
997FKR,090007_1701092891541R04_281,939
1WVS42,090013_1701097562844F04_621,924
4JFS87,090012_1701117572709R03_101,936
3TFN61,090108_1701117935337R04_001,935
1EWE93,090012_1701115142111F04_661,931
673VX6,090108_1701096687355R03_111,935
4SSZ19,090108_1701110886684R04_991,944
3THH57,090109_1701119637172F02_661,935
173LN1,090105_1701121471702R01_301,934
,090009_1701099176912F06_251,0
C290854,090112_1701116499945F04_541,934
BTV878,090109_1701096175414F04_001,911
7FY544,090014_1701104329795F04_681,918
5RPJ49,090113_1701109652362F01_131,925
7FP177,090014_1701098421911R06_661,938
5977HD,090010_1701109940992R03_321,908
3HBG99,090110_1701101795929R04_061,920
3PDY74,090111_1701105525536F04_661,935
LEY8600,090003_1701117356283R03_961,930
5PXH49,090314_1701111961017F01_921,938
5ARR81,090013_1701091659395R02_091,931
5116,090109_1701115592705R05_551,493
S87824,090007_1701095194030R02_961,930
RKZ9537,090107_1701090085728F04_361,913
486HB9,090012_1701091129030F04_321,917
3WWC18,090110_1701097805459R04_261,941
2JTD29,090009_1701110013637F05_451,915
887GM4,090013_1701120012155R02_031,928
V77107,090106_1701094861611F02_171,933
X35877,090314_1701115132710R02_701,919
EVB594,090012_1701091430101F03_071,881
82DEGX,090007_1701114902406R04_091,923
EV65KJ,090012_1701109132989F01_231,900
5013B,090003_1701103750799R02_121,939
1294LY,090009_1701090132935F03_211,909
1ZM121,090112_1701106328670R04_181,943
1ZHR28,090109_1701106732349R04_261,940
981XH6,090111_1701108795011R02_031,927
629HG6,090007_1701094026707F04_691,928
39378,090103_1701099551941F03_621,943
87XW58,090108_1701100427337F02_201,868
3YNL21,090012_1701114699565R03_321,928
3NXN91,090102_1701098672824F03_311,931
KD706,090006_1701118165385R03_551,934
4RY435,090011_1701118767695R04_431,935
2MCY57,090009_1701103493023F05_151,879
1WH180,090012_1701109047210R02_521,903
2EBE83,001115_1701109373913F04_361,917
X46794,090013_1701102628781F03_361,942
5EHK38,090110_1701111479198F04_421,918
2WNW66,090003_1701101280785R03_521,945
3EFY17,090108_1701094961095R04_461,921
5120721,090106_1701113456299R04_491,886
X18153,090013_1701092188387F04_431,910
BR56WC,090109_1701115046536R04_981,940
6888YR,090006_1701090924750R03_801,941
M19673,090111_1701115278406R04_101,921
832NUJ,090007_1701095817114R02_791,921
X34097,090007_1701111551092R02_801,934
BH54167,090107_1701104774003F04_391,927
KVW4429,090006_1701111048920R04_681,916
2MPP94,090009_1701099943946R04_251,915
9EWY533,090113_1701094522129R03_171,914
